age,impressions,clicks,gender,date,age_group
68,980,66,male,2024-02-25,65+
46,143,58,female,2024-02-26,45-54
52,210,17,female,2024-02-27,45-54
18,553,50,male,2024-02-28,18-24
18,474,12,male,2024-02-29,18-24
54,851,52,female,2024-03-01,45-54
23,890,44,male,2024-03-02,18-24
56,465,99,male,2024-03-03,55-64
58,623,24,female,2024-03-04,55-64
35,219,55,female,2024-03-05,35-44
33,382,70,female,2024-03-06,25-34
22,660,48,female,2024-03-07,18-24
59,299,87,female,2024-03-08,55-64
60,339,83,male,2024-03-09,55-64
49,794,94,female,2024-03-10,45-54
19,708,61,male,2024-03-11,18-24
19,456,77,female,2024-03-12,18-24
57,950,55,male,2024-03-13,55-64
59,699,39,male,2024-03-14,55-64
53,505,95,male,2024-03-15,45-54
56,610,16,male,2024-03-16,55-64
29,614,16,female,2024-03-17,25-34
64,364,41,female,2024-03-18,55-64
36,366,54,female,2024-03-19,35-44
45,361,81,male,2024-03-20,45-54
18,394,86,male,2024-03-21,18-24
32,712,79,male,2024-03-22,25-34
53,549,53,female,2024-03-23,45-54
30,729,79,female,2024-03-24,25-34
60,671,16,male,2024-03-25,55-64
38,776,98,male,2024-03-26,35-44
29,361,39,male,2024-03-27,25-34
22,138,79,female,2024-03-28,18-24
24,775,81,female,2024-03-29,18-24
22,188,44,male,2024-03-30,18-24
65,819,15,male,2024-03-31,65+
21,440,7,female,2024-04-01,18-24
30,470,80,female,2024-04-02,25-34
54,365,51,male,2024-04-03,45-54
58,232,56,female,2024-04-04,55-64
32,124,46,male,2024-04-05,25-34
33,706,96,male,2024-04-06,25-34
38,486,8,female,2024-04-07,35-44
53,951,21,male,2024-04-08,45-54
41,999,68,female,2024-04-09,35-44
33,689,69,female,2024-04-10,25-34
31,367,18,female,2024-04-11,25-34
39,497,43,female,2024-04-12,35-44
66,584,9,female,2024-04-13,65+
67,181,8,male,2024-04-14,65+
23,254,24,male,2024-04-15,18-24
59,787,86,male,2024-04-16,55-64
53,710,21,male,2024-04-17,45-54
18,633,76,female,2024-04-18,18-24
49,782,29,female,2024-04-19,45-54
23,990,16,male,2024-04-20,18-24
48,541,27,female,2024-04-21,45-54
18,245,65,male,2024-04-22,18-24
67,713,96,female,2024-04-23,65+
68,344,7,male,2024-04-24,65+
54,569,13,female,2024-04-25,45-54
52,283,77,male,2024-04-26,45-54
66,712,94,male,2024-04-27,65+
47,296,43,male,2024-04-28,45-54
21,211,57,male,2024-04-29,18-24
52,326,93,female,2024-04-30,45-54
60,879,68,male,2024-05-01,55-64
31,197,26,female,2024-05-02,25-34
66,338,9,female,2024-05-03,65+
57,503,36,male,2024-05-04,55-64
39,980,80,male,2024-05-05,35-44
27,111,42,female,2024-05-06,25-34
18,637,12,male,2024-05-07,18-24
28,197,27,female,2024-05-08,25-34
68,451,47,male,2024-05-09,65+
61,401,64,male,2024-05-10,55-64
41,874,59,female,2024-05-11,35-44
20,701,78,female,2024-05-12,18-24
52,956,56,female,2024-05-13,45-54
53,593,87,male,2024-05-14,45-54
48,650,28,female,2024-05-15,45-54
21,151,88,male,2024-05-16,18-24
36,116,30,female,2024-05-17,35-44
64,830,62,male,2024-05-18,55-64
53,871,74,female,2024-05-19,45-54
38,958,94,male,2024-05-20,35-44
35,530,50,female,2024-05-21,35-44
68,734,93,male,2024-05-22,65+
45,513,56,female,2024-05-23,45-54
32,870,64,female,2024-05-24,25-34
59,745,49,female,2024-05-25,55-64
19,477,31,male,2024-05-26,18-24
54,883,48,male,2024-05-27,45-54
28,946,37,female,2024-05-28,25-34
40,519,35,male,2024-05-29,35-44
61,280,19,male,2024-05-30,55-64
58,459,76,male,2024-05-31,55-64
29,986,66,female,2024-06-01,25-34
20,363,6,female,2024-06-02,18-24
69,791,52,female,2024-06-03,65+
34,458,48,female,2024-06-04,25-34
50,861,95,male,2024-06-05,45-54
18,795,20,male,2024-06-06,18-24
56,725,73,female,2024-06-07,55-64
37,495,79,female,2024-06-08,35-44
64,551,90,female,2024-06-09,55-64
60,817,44,female,2024-06-10,55-64
69,990,99,female,2024-06-11,65+
58,411,91,female,2024-06-12,55-64
31,700,5,female,2024-06-13,25-34
48,607,86,female,2024-06-14,45-54
42,352,63,female,2024-06-15,35-44
20,604,17,male,2024-06-16,18-24
21,936,96,female,2024-06-17,18-24
48,217,48,female,2024-06-18,45-54
52,471,59,male,2024-06-19,45-54
61,570,52,male,2024-06-20,55-64
31,285,27,female,2024-06-21,25-34
66,449,36,male,2024-06-22,65+
58,714,39,male,2024-06-23,55-64
26,818,47,female,2024-06-24,25-34
37,694,73,male,2024-06-25,35-44
49,336,67,male,2024-06-26,45-54
26,103,41,female,2024-06-27,25-34
44,265,88,female,2024-06-28,35-44
20,491,49,female,2024-06-29,18-24
21,897,86,male,2024-06-30,18-24
62,178,75,male,2024-07-01,55-64
32,879,11,male,2024-07-02,25-34
50,623,53,male,2024-07-03,45-54
22,884,14,female,2024-07-04,18-24
21,160,33,female,2024-07-05,18-24
63,735,82,male,2024-07-06,55-64
29,203,61,male,2024-07-07,25-34
40,803,14,female,2024-07-08,35-44
31,799,90,male,2024-07-09,25-34
63,229,71,male,2024-07-10,55-64
29,793,14,male,2024-07-11,25-34
34,384,41,male,2024-07-12,25-34
42,548,33,female,2024-07-13,35-44
47,953,69,male,2024-07-14,45-54
39,828,79,male,2024-07-15,35-44
64,685,18,female,2024-07-16,55-64
43,495,7,female,2024-07-17,35-44
34,576,42,male,2024-07-18,25-34
37,473,76,male,2024-07-19,35-44
51,949,92,female,2024-07-20,45-54
58,539,99,male,2024-07-21,55-64
50,115,86,female,2024-07-22,45-54
54,231,8,male,2024-07-23,45-54
24,206,85,male,2024-07-24,18-24
39,572,87,female,2024-07-25,35-44
49,313,55,male,2024-07-26,45-54
31,384,66,female,2024-07-27,25-34
25,926,87,male,2024-07-28,25-34
42,825,33,male,2024-07-29,35-44
33,690,40,female,2024-07-30,25-34
59,979,58,female,2024-07-31,55-64
36,933,31,male,2024-08-01,35-44
58,944,47,female,2024-08-02,55-64
33,367,51,male,2024-08-03,25-34
29,381,74,male,2024-08-04,25-34
56,459,33,male,2024-08-05,55-64
65,879,48,female,2024-08-06,65+
47,958,88,male,2024-08-07,45-54
19,849,67,female,2024-08-08,18-24
49,518,79,male,2024-08-09,45-54
62,997,79,female,2024-08-10,55-64
42,756,14,female,2024-08-11,35-44
42,357,96,female,2024-08-12,35-44
21,628,80,male,2024-08-13,18-24
36,645,43,female,2024-08-14,35-44
65,133,36,female,2024-08-15,65+
21,272,27,male,2024-08-16,18-24
60,586,96,female,2024-08-17,55-64
30,908,62,female,2024-08-18,25-34
56,428,26,male,2024-08-19,55-64
53,305,66,female,2024-08-20,45-54
40,206,46,female,2024-08-21,35-44
23,695,46,male,2024-08-22,18-24
41,854,28,male,2024-08-23,35-44
61,516,57,female,2024-08-24,55-64
50,424,28,male,2024-08-25,45-54
29,515,77,male,2024-08-26,25-34
58,762,46,male,2024-08-27,55-64
38,164,65,male,2024-08-28,35-44
28,841,52,male,2024-08-29,25-34
61,387,20,male,2024-08-30,55-64
55,179,41,female,2024-08-31,55-64
46,183,70,male,2024-09-01,45-54
65,883,99,male,2024-09-02,65+
58,919,47,female,2024-09-03,55-64
20,605,5,male,2024-09-04,18-24
45,496,88,female,2024-09-05,45-54
37,785,11,female,2024-09-06,35-44
43,110,98,female,2024-09-07,35-44
41,600,72,female,2024-09-08,35-44
69,717,36,female,2024-09-09,65+
64,948,34,male,2024-09-10,55-64
38,170,21,female,2024-09-11,35-44
47,121,72,female,2024-09-12,45-54
21,834,31,male,2024-09-13,18-24
53,807,11,male,2024-09-14,45-54
57,436,16,female,2024-09-15,55-64
27,420,86,male,2024-09-16,25-34
27,229,60,male,2024-09-17,25-34
59,918,48,female,2024-09-18,55-64
41,964,72,female,2024-09-19,35-44
21,463,25,male,2024-09-20,18-24
64,566,96,male,2024-09-21,55-64
44,438,97,male,2024-09-22,35-44
68,797,19,female,2024-09-23,65+
62,506,19,female,2024-09-24,55-64
21,883,85,male,2024-09-25,18-24
49,640,68,male,2024-09-26,45-54
27,427,48,male,2024-09-27,25-34
28,383,32,female,2024-09-28,25-34
45,316,92,female,2024-09-29,45-54
63,413,25,female,2024-09-30,55-64
25,926,28,female,2024-10-01,25-34
57,316,39,male,2024-10-02,55-64
39,369,37,male,2024-10-03,35-44
51,178,70,female,2024-10-04,45-54
62,888,27,female,2024-10-05,55-64
52,683,26,male,2024-10-06,45-54
52,795,62,male,2024-10-07,45-54
42,400,73,male,2024-10-08,35-44
51,335,50,female,2024-10-09,45-54
23,345,44,male,2024-10-10,18-24
58,191,29,male,2024-10-11,55-64
54,144,91,male,2024-10-12,45-54
18,883,22,male,2024-10-13,18-24
29,699,57,male,2024-10-14,25-34
52,689,95,female,2024-10-15,45-54
23,610,13,female,2024-10-16,18-24
34,513,10,female,2024-10-17,25-34
26,707,91,female,2024-10-18,25-34
19,210,87,female,2024-10-19,18-24
35,822,15,male,2024-10-20,35-44
66,744,67,male,2024-10-21,65+
53,640,34,male,2024-10-22,45-54
45,805,16,male,2024-10-23,45-54
58,149,35,female,2024-10-24,55-64
54,443,76,female,2024-10-25,45-54
66,669,63,female,2024-10-26,65+
43,820,99,female,2024-10-27,35-44
21,141,47,female,2024-10-28,18-24
57,574,90,male,2024-10-29,55-64
53,852,76,male,2024-10-30,45-54
68,294,30,male,2024-10-31,65+
48,373,59,female,2024-11-01,45-54
47,120,88,male,2024-11-02,45-54
67,778,30,male,2024-11-03,65+
51,420,50,female,2024-11-04,45-54
36,746,8,female,2024-11-05,35-44
35,336,89,male,2024-11-06,35-44
47,762,88,female,2024-11-07,45-54
38,179,42,male,2024-11-08,35-44
20,174,38,female,2024-11-09,18-24
23,262,65,female,2024-11-10,18-24
55,780,94,female,2024-11-11,55-64
30,778,12,male,2024-11-12,25-34
62,761,65,female,2024-11-13,55-64
20,902,42,male,2024-11-14,18-24
65,473,89,male,2024-11-15,65+
45,260,21,female,2024-11-16,45-54
39,526,50,male,2024-11-17,35-44
57,483,44,male,2024-11-18,55-64
57,400,38,female,2024-11-19,55-64
29,711,70,female,2024-11-20,25-34
40,909,78,female,2024-11-21,35-44
48,861,92,female,2024-11-22,45-54
35,971,73,female,2024-11-23,35-44
24,863,29,male,2024-11-24,18-24
25,404,11,female,2024-11-25,25-34
36,483,65,male,2024-11-26,35-44
46,750,93,male,2024-11-27,45-54
61,424,66,male,2024-11-28,55-64
37,373,64,male,2024-11-29,35-44
67,871,79,male,2024-11-30,65+
59,713,34,female,2024-12-01,55-64
47,706,33,male,2024-12-02,45-54
64,571,29,male,2024-12-03,55-64
39,385,8,female,2024-12-04,35-44
27,714,87,male,2024-12-05,25-34
43,735,26,female,2024-12-06,35-44
68,258,11,female,2024-12-07,65+
50,303,89,female,2024-12-08,45-54
45,550,26,female,2024-12-09,45-54
27,577,32,male,2024-12-10,25-34
46,416,31,male,2024-12-11,45-54
61,747,94,male,2024-12-12,55-64
35,791,69,female,2024-12-13,35-44
59,344,8,male,2024-12-14,55-64
18,685,58,female,2024-12-15,18-24
40,571,42,male,2024-12-16,35-44
34,501,12,male,2024-12-17,25-34
60,780,85,male,2024-12-18,55-64
54,343,80,female,2024-12-19,45-54
48,633,16,male,2024-12-20,45-54
42,706,7,male,2024-12-21,35-44
21,243,59,male,2024-12-22,18-24
69,852,10,female,2024-12-23,65+
26,885,22,male,2024-12-24,25-34
45,366,83,male,2024-12-25,45-54
47,757,10,female,2024-12-26,45-54
64,231,83,male,2024-12-27,55-64
41,685,86,female,2024-12-28,35-44
50,897,35,female,2024-12-29,45-54
37,295,8,female,2024-12-30,35-44
26,555,5,male,2024-12-31,25-34
25,564,98,female,2025-01-01,25-34
41,326,49,female,2025-01-02,35-44
31,744,49,female,2025-01-03,25-34
35,545,66,female,2025-01-04,35-44
18,958,5,female,2025-01-05,18-24
29,200,22,male,2025-01-06,25-34
46,234,34,female,2025-01-07,45-54
54,132,96,male,2025-01-08,45-54
43,181,39,female,2025-01-09,35-44
50,731,64,female,2025-01-10,45-54
60,474,26,female,2025-01-11,55-64
32,857,68,female,2025-01-12,25-34
40,393,99,female,2025-01-13,35-44
46,731,22,female,2025-01-14,45-54
38,383,43,female,2025-01-15,35-44
36,151,84,male,2025-01-16,35-44
22,690,6,male,2025-01-17,18-24
40,698,20,male,2025-01-18,35-44
53,707,91,female,2025-01-19,45-54
37,108,22,female,2025-01-20,35-44
25,412,58,female,2025-01-21,25-34
26,897,27,female,2025-01-22,25-34
31,768,82,female,2025-01-23,25-34
23,518,52,female,2025-01-24,18-24
18,286,71,male,2025-01-25,18-24
26,995,16,female,2025-01-26,25-34
33,994,14,male,2025-01-27,25-34
33,576,45,male,2025-01-28,25-34
29,211,59,male,2025-01-29,25-34
22,756,56,female,2025-01-30,18-24
57,671,52,female,2025-01-31,55-64
46,347,9,female,2025-02-01,45-54
63,107,15,male,2025-02-02,55-64
44,388,11,male,2025-02-03,35-44
28,824,49,female,2025-02-04,25-34
64,847,77,female,2025-02-05,55-64
67,175,13,male,2025-02-06,65+
45,321,77,male,2025-02-07,45-54
69,140,23,male,2025-02-08,65+
53,100,7,male,2025-02-09,45-54
59,312,74,male,2025-02-10,55-64
36,209,98,male,2025-02-11,35-44
52,704,34,female,2025-02-12,45-54
69,305,32,male,2025-02-13,65+
48,265,22,male,2025-02-14,45-54
61,531,63,female,2025-02-15,55-64
36,673,16,male,2025-02-16,35-44
63,203,54,female,2025-02-17,55-64
41,680,77,male,2025-02-18,35-44
19,594,93,female,2025-02-19,18-24
24,797,8,male,2025-02-20,18-24
60,987,16,male,2025-02-21,55-64
66,232,62,male,2025-02-22,65+
48,717,55,male,2025-02-23,45-54
34,648,20,female,2025-02-24,25-34
44,436,62,female,2025-02-25,35-44
53,566,8,female,2025-02-26,45-54
67,265,65,female,2025-02-27,65+
60,834,44,female,2025-02-28,55-64
27,473,90,female,2025-03-01,25-34
62,594,34,male,2025-03-02,55-64
31,391,58,male,2025-03-03,25-34
24,740,72,male,2025-03-04,18-24
56,661,61,male,2025-03-05,55-64
57,285,80,male,2025-03-06,55-64
26,365,84,female,2025-03-07,25-34
31,150,50,male,2025-03-08,25-34
25,837,95,male,2025-03-09,25-34
34,276,84,male,2025-03-10,25-34
40,624,16,female,2025-03-11,35-44
33,810,10,female,2025-03-12,25-34
43,736,35,female,2025-03-13,35-44
26,599,63,female,2025-03-14,25-34
53,199,73,male,2025-03-15,45-54
24,458,64,female,2025-03-16,18-24
35,136,37,male,2025-03-17,35-44
25,386,42,female,2025-03-18,25-34
38,726,48,female,2025-03-19,35-44
43,247,65,male,2025-03-20,35-44
20,522,50,female,2025-03-21,18-24
34,528,34,male,2025-03-22,25-34
68,135,32,male,2025-03-23,65+
63,882,32,female,2025-03-24,55-64
41,129,34,male,2025-03-25,35-44
42,160,77,male,2025-03-26,35-44
22,437,80,male,2025-03-27,18-24
54,935,83,female,2025-03-28,45-54
62,897,43,female,2025-03-29,55-64
67,255,16,female,2025-03-30,65+
41,231,79,female,2025-03-31,35-44
48,133,94,female,2025-04-01,45-54
43,857,37,male,2025-04-02,35-44
38,535,55,male,2025-04-03,35-44
51,986,45,male,2025-04-04,45-54
55,511,75,male,2025-04-05,55-64
41,328,35,male,2025-04-06,35-44
45,156,27,male,2025-04-07,45-54
47,377,80,female,2025-04-08,45-54
51,779,40,female,2025-04-09,45-54
69,846,89,male,2025-04-10,65+
69,430,73,female,2025-04-11,65+
40,641,68,female,2025-04-12,35-44
25,341,9,male,2025-04-13,25-34
59,670,54,female,2025-04-14,55-64
67,892,34,female,2025-04-15,65+
27,214,68,female,2025-04-16,25-34
18,372,66,female,2025-04-17,18-24
37,548,96,male,2025-04-18,35-44
54,968,88,male,2025-04-19,45-54
35,735,95,male,2025-04-20,35-44
38,113,31,female,2025-04-21,35-44
66,869,78,female,2025-04-22,65+
21,863,55,male,2025-04-23,18-24
60,358,99,male,2025-04-24,55-64
19,934,22,male,2025-04-25,18-24
38,247,76,male,2025-04-26,35-44
54,600,61,female,2025-04-27,45-54
22,862,40,male,2025-04-28,18-24
34,560,78,female,2025-04-29,25-34
66,770,97,male,2025-04-30,65+
65,651,52,male,2025-05-01,65+
28,569,53,female,2025-05-02,25-34
63,689,76,female,2025-05-03,55-64
58,382,72,male,2025-05-04,55-64
48,471,76,male,2025-05-05,45-54
45,240,67,female,2025-05-06,45-54
61,341,77,female,2025-05-07,55-64
49,357,42,male,2025-05-08,45-54
38,520,10,female,2025-05-09,35-44
24,878,60,male,2025-05-10,18-24
27,974,97,female,2025-05-11,25-34
45,388,51,male,2025-05-12,45-54
65,610,43,male,2025-05-13,65+
53,384,54,female,2025-05-14,45-54
37,798,13,male,2025-05-15,35-44
30,806,70,female,2025-05-16,25-34
36,832,71,male,2025-05-17,35-44
67,165,67,male,2025-05-18,65+
28,305,21,male,2025-05-19,25-34
52,439,66,male,2025-05-20,45-54
51,659,71,male,2025-05-21,45-54
61,693,16,male,2025-05-22,55-64
21,520,36,male,2025-05-23,18-24
30,299,15,male,2025-05-24,25-34
54,409,25,male,2025-05-25,45-54
19,810,19,male,2025-05-26,18-24
67,749,57,female,2025-05-27,65+
18,627,76,female,2025-05-28,18-24
57,886,34,male,2025-05-29,55-64
42,257,10,male,2025-05-30,35-44
54,793,19,female,2025-05-31,45-54
53,654,84,male,2025-06-01,45-54
23,566,56,male,2025-06-02,18-24
24,742,37,male,2025-06-03,18-24
21,897,28,male,2025-06-04,18-24
52,501,96,male,2025-06-05,45-54
58,135,11,male,2025-06-06,55-64
51,988,78,female,2025-06-07,45-54
46,375,70,female,2025-06-08,45-54
22,635,80,female,2025-06-09,18-24
44,752,92,male,2025-06-10,35-44
50,455,75,male,2025-06-11,45-54
63,977,45,male,2025-06-12,55-64
69,796,65,male,2025-06-13,65+
27,806,41,male,2025-06-14,25-34
23,888,17,male,2025-06-15,18-24
51,231,40,female,2025-06-16,45-54
25,181,67,female,2025-06-17,25-34
48,138,74,female,2025-06-18,45-54
26,142,67,male,2025-06-19,25-34
38,649,63,female,2025-06-20,35-44
25,462,81,female,2025-06-21,25-34
21,652,23,female,2025-06-22,18-24
39,979,5,female,2025-06-23,35-44
45,895,6,female,2025-06-24,45-54
62,744,89,female,2025-06-25,55-64
21,535,82,male,2025-06-26,18-24
56,506,95,male,2025-06-27,55-64
38,777,26,male,2025-06-28,35-44
25,903,83,female,2025-06-29,25-34
37,642,18,male,2025-06-30,35-44
49,875,72,female,2025-07-01,45-54
18,700,22,female,2025-07-02,18-24
23,339,10,male,2025-07-03,18-24
45,494,31,male,2025-07-04,45-54
61,247,68,female,2025-07-05,55-64
48,945,32,female,2025-07-06,45-54
27,924,46,female,2025-07-07,25-34
37,555,18,male,2025-07-08,35-44
25,160,50,female,2025-07-09,25-34
39,124,53,female,2025-07-10,35-44
55,260,61,female,2025-07-11,55-64
46,464,63,female,2025-07-12,45-54
26,395,22,female,2025-07-13,25-34
61,984,91,female,2025-07-14,55-64
64,204,94,male,2025-07-15,55-64
18,482,97,female,2025-07-16,18-24
58,467,82,female,2025-07-17,55-64
69,216,12,male,2025-07-18,65+
56,116,31,male,2025-07-19,55-64
43,318,22,male,2025-07-20,35-44
28,308,73,female,2025-07-21,25-34
69,914,48,male,2025-07-22,65+
52,324,52,male,2025-07-23,45-54
41,706,99,male,2025-07-24,35-44
50,952,97,female,2025-07-25,45-54
37,891,77,female,2025-07-26,35-44
44,755,63,female,2025-07-27,35-44
32,272,32,female,2025-07-28,25-34
50,695,11,male,2025-07-29,45-54
69,219,12,male,2025-07-30,65+
24,667,58,male,2025-07-31,18-24
51,454,31,female,2025-08-01,45-54
62,511,80,male,2025-08-02,55-64
68,401,42,female,2025-08-03,65+
63,437,98,male,2025-08-04,55-64
59,827,54,female,2025-08-05,55-64
22,511,25,female,2025-08-06,18-24
47,689,98,female,2025-08-07,45-54
45,532,61,male,2025-08-08,45-54
35,962,66,male,2025-08-09,35-44
53,489,60,female,2025-08-10,45-54
20,477,97,female,2025-08-11,18-24
38,331,28,male,2025-08-12,35-44
63,837,62,male,2025-08-13,55-64
33,981,14,female,2025-08-14,25-34
54,896,5,female,2025-08-15,45-54
59,344,24,female,2025-08-16,55-64
22,165,76,female,2025-08-17,18-24
67,168,55,male,2025-08-18,65+
68,825,43,female,2025-08-19,65+
31,556,72,female,2025-08-20,25-34
48,864,35,female,2025-08-21,45-54
63,470,42,male,2025-08-22,55-64
41,474,61,male,2025-08-23,35-44
52,583,10,female,2025-08-24,45-54
53,660,64,female,2025-08-25,45-54
27,199,85,female,2025-08-26,25-34
44,681,95,male,2025-08-27,35-44
44,711,66,male,2025-08-28,35-44
40,171,36,female,2025-08-29,35-44
30,613,75,male,2025-08-30,25-34
33,229,94,female,2025-08-31,25-34
52,299,80,male,2025-09-01,45-54
44,765,22,female,2025-09-02,35-44
69,200,36,female,2025-09-03,65+
56,689,36,female,2025-09-04,55-64
64,720,89,male,2025-09-05,55-64
34,278,95,female,2025-09-06,25-34
65,511,44,female,2025-09-07,65+
58,196,55,female,2025-09-08,55-64
18,655,79,male,2025-09-09,18-24
28,887,43,female,2025-09-10,25-34
29,454,73,male,2025-09-11,25-34
31,401,44,female,2025-09-12,25-34
25,200,84,female,2025-09-13,25-34
48,436,18,male,2025-09-14,45-54
24,212,40,male,2025-09-15,18-24
63,334,16,female,2025-09-16,55-64
48,989,80,female,2025-09-17,45-54
33,551,59,female,2025-09-18,25-34
59,620,41,male,2025-09-19,55-64
56,311,87,male,2025-09-20,55-64
61,676,80,male,2025-09-21,55-64
36,472,56,female,2025-09-22,35-44
25,196,39,male,2025-09-23,25-34
46,582,63,male,2025-09-24,45-54
19,975,85,female,2025-09-25,18-24
59,489,33,female,2025-09-26,55-64
20,441,14,male,2025-09-27,18-24
68,380,13,female,2025-09-28,65+
46,102,22,male,2025-09-29,45-54
32,609,97,female,2025-09-30,25-34
55,555,30,male,2025-10-01,55-64
45,208,99,male,2025-10-02,45-54
54,303,64,male,2025-10-03,45-54
49,343,99,male,2025-10-04,45-54
47,896,64,female,2025-10-05,45-54
68,474,63,female,2025-10-06,65+
64,963,23,female,2025-10-07,55-64
47,165,17,female,2025-10-08,45-54
68,564,6,female,2025-10-09,65+
51,470,32,male,2025-10-10,45-54
30,310,15,male,2025-10-11,25-34
50,498,72,female,2025-10-12,45-54
59,633,66,male,2025-10-13,55-64
34,211,21,female,2025-10-14,25-34
20,979,32,female,2025-10-15,18-24
26,297,11,female,2025-10-16,25-34
69,901,5,male,2025-10-17,65+
28,718,12,female,2025-10-18,25-34
66,230,30,female,2025-10-19,65+
44,639,72,female,2025-10-20,35-44
45,844,64,female,2025-10-21,45-54
19,475,41,female,2025-10-22,18-24
18,247,49,female,2025-10-23,18-24
23,939,90,male,2025-10-24,18-24
42,897,77,female,2025-10-25,35-44
52,519,43,female,2025-10-26,45-54
33,837,47,male,2025-10-27,25-34
21,404,41,female,2025-10-28,18-24
64,948,73,female,2025-10-29,55-64
55,284,96,male,2025-10-30,55-64
61,419,18,female,2025-10-31,55-64
37,572,18,female,2025-11-01,35-44
42,542,46,female,2025-11-02,35-44
24,919,77,female,2025-11-03,18-24
38,350,11,female,2025-11-04,35-44
24,673,99,male,2025-11-05,18-24
46,206,17,male,2025-11-06,45-54
69,567,8,male,2025-11-07,65+
24,373,21,female,2025-11-08,18-24
20,145,10,female,2025-11-09,18-24
46,674,45,female,2025-11-10,45-54
46,122,60,male,2025-11-11,45-54
56,325,34,female,2025-11-12,55-64
55,714,58,male,2025-11-13,55-64
23,749,27,female,2025-11-14,18-24
63,873,28,female,2025-11-15,55-64
27,432,41,female,2025-11-16,25-34
54,673,64,female,2025-11-17,45-54
31,270,39,male,2025-11-18,25-34
39,859,75,female,2025-11-19,35-44
49,500,11,female,2025-11-20,45-54
35,415,93,female,2025-11-21,35-44
53,373,81,female,2025-11-22,45-54
63,296,22,female,2025-11-23,55-64
69,416,53,female,2025-11-24,65+
26,765,42,female,2025-11-25,25-34
43,242,5,male,2025-11-26,35-44
39,977,79,male,2025-11-27,35-44
63,929,9,male,2025-11-28,55-64
55,281,65,male,2025-11-29,55-64
40,181,15,male,2025-11-30,35-44
34,641,34,female,2025-12-01,25-34
43,298,18,male,2025-12-02,35-44
64,128,24,female,2025-12-03,55-64
55,814,46,female,2025-12-04,55-64
19,745,81,male,2025-12-05,18-24
23,584,49,male,2025-12-06,18-24
24,584,56,male,2025-12-07,18-24
30,440,21,female,2025-12-08,25-34
44,598,42,female,2025-12-09,35-44
28,278,19,male,2025-12-10,25-34
32,698,41,female,2025-12-11,25-34
26,281,9,female,2025-12-12,25-34
25,878,52,female,2025-12-13,25-34
63,655,5,female,2025-12-14,55-64
23,514,54,male,2025-12-15,18-24
65,927,42,male,2025-12-16,65+
60,242,80,male,2025-12-17,55-64
21,532,49,female,2025-12-18,18-24
28,732,74,female,2025-12-19,25-34
68,481,21,female,2025-12-20,65+
45,156,21,female,2025-12-21,45-54
43,549,15,female,2025-12-22,35-44
21,972,10,male,2025-12-23,18-24
32,243,28,male,2025-12-24,25-34
36,731,52,male,2025-12-25,35-44
23,408,72,female,2025-12-26,18-24
22,388,43,female,2025-12-27,18-24
35,187,23,male,2025-12-28,35-44
23,641,99,female,2025-12-29,18-24
48,151,85,female,2025-12-30,45-54
42,573,36,female,2025-12-31,35-44
21,537,47,female,2026-01-01,18-24
23,872,52,female,2026-01-02,18-24
58,292,26,female,2026-01-03,55-64
54,991,60,male,2026-01-04,45-54
67,254,79,male,2026-01-05,65+
42,568,36,female,2026-01-06,35-44
51,489,88,male,2026-01-07,45-54
